artist,track,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
Baby Tate,Mean Girl (feat. Queen Key & Asian Doll),61HXix5FqC7fuqty8sQJ0r,0.948,0.857,6,-8.495,1,0.188,0.0518,0.0,0.0907,0.893,136.961,262833,4,jojo
Kendrick Lamar,i,7wdzLe2Gsx1RGqbvYZHASz,0.755,0.884,10,-5.296,0,0.0638,0.0208,2.97e-06,0.248,0.897,121.927,231933,4,jojo
Death Grips,This Is Violence Now (Don't Get Me Wrong),6ftc8xATHBNzStXlzRAmjA,0.673,0.956,1,-4.296,1,0.358,0.00412,0.00236,0.338,0.406,160.546,157732,4,jojo
Kanye West,I Thought About Killing You,0yhxBvedRdGxsPZHJNI4VA,0.752,0.396,2,-7.932,1,0.411,0.867,0.0,0.0486,0.417,116.016,274187,4,jojo
Death Grips,Hacker,7y8X0Z04gJCKtfrnSAMywJ,0.681,0.88,9,-3.895,1,0.227,0.0567,0.0,0.0893,0.38,124.885,275520,4,jojo
BABYNYMPH,clown shit (up the wall) [SOPHIE Remix],4fORekngPoCqeJpe3xg6GQ,0.532,0.262,0,-17.556,1,0.345,0.0427,0.896,0.0922,0.505,144.986,387310,4,jojo
Remi Wolf,Hello Hello Hello,1xNknVNOolLB4oQeEtNBX2,0.736,0.669,1,-8.305,1,0.136,0.107,0.0,0.224,0.797,86.531,172023,4,jojo
Charli XCX,Trophy,3LcH7UHXAstKd0qUDdlRQa,0.736,0.777,5,-6.096,0,0.238,0.0155,1.03e-06,0.342,0.465,127.198,159329,4,jojo
Mitski,First Love / Late Spring,1Ac5BDsGUMQ3tsW2vnc52x,0.443,0.545,0,-8.196,1,0.0273,0.000813,0.0137,0.202,0.104,99.914,278640,4,jojo
The Buttress,Miracle Gro,7sw544QR3eAN1zTnF4evlk,0.739,0.676,7,-7.354,1,0.303,0.0535,0.0,0.218,0.556,90.033,112927,4,jojo
Seth Parker,Escape from Snaxburg,45UXnJBhQPFPAiRQTakxP5,0.188,0.387,2,-14.331,0,0.0323,0.152,0.296,0.542,0.235,146.568,429867,3,jojo
Baby Tate,That Girl,1eGW9NUzLN1roVpWWyjVI8,0.599,0.614,9,-9.43,0,0.167,0.379,8.96e-06,0.135,0.398,176.102,270187,4,jojo
Indigo De Souza,Take Off Ur Pants,1hT40puiAJU7uTcUZGmcdN,0.412,0.66,9,-9.683,1,0.0539,0.0022,0.189,0.396,0.66,127.486,220250,4,jojo
Ashnikko,Drunk With My Friends,2YBN2v1sRizy1bQQFMlDEI,0.83,0.578,11,-4.596,1,0.123,0.0772,0.00215,0.128,0.399,91.039,128232,4,jojo
"Slaughter Beach, Dog",Your Cat,0nKrDJLm94OpQElETtklsh,0.626,0.626,0,-6.352,1,0.0302,0.0128,0.491,0.169,0.697,139.964,198667,4,jojo
Doja Cat,Rules,1TMWcbxL5YF8rKsFHv5hAP,0.651,0.724,7,-5.457,1,0.166,0.172,0.0,0.13,0.686,144.146,187040,4,jojo
Coco & Clair Clair,Bugs,0cnR7d3VZCgAIemWVvtHlO,0.794,0.543,11,-12.556,0,0.342,0.553,0.0,0.0557,0.677,148.11,119256,4,jojo
Kero Kero Bonito,Only Acting,4aIoxZWHySrA3BpnmeREXJ,0.677,0.723,7,-5.111,1,0.182,0.0572,0.0,0.268,0.474,124.01,229855,4,jojo
My Chemical Romance,"Give 'Em Hell, Kid",0axF06XwNLobcx5z8BVtYw,0.252,0.993,4,-3.079,0,0.16,0.0234,0.0,0.228,0.118,183.773,138840,4,jojo
Death Grips,Runway H (2),3jwj0MUCNJyoYVe7AYD0aQ,0.433,0.948,2,-3.495,1,0.281,0.0265,0.314,0.574,0.294,153.265,226976,3,jojo
Rico Nasty,Cold,4Onanh2sbZQKTGH8KvWzxS,0.675,0.906,8,-4.687,1,0.732,0.231,0.0,0.101,0.782,76.34,153667,4,jojo
Death Grips,Black Dice,08R0UATC6bzZst68bkuAXk,0.582,0.716,7,-4.712,1,0.263,0.00169,0.0,0.215,0.598,147.866,206960,4,jojo
Japanese Breakfast,Be Sweet,2X3J1zgsKEkTSYnjsUQlUZ,0.653,0.875,2,-5.815,0,0.0274,0.00976,1.03e-05,0.329,0.61,109.988,195371,4,jojo
Kate NV,Kata,65Z94VSjcmkV8qFz4GoyFE,0.799,0.646,0,-9.124,1,0.0263,0.59,0.0142,0.101,0.746,104.989,348571,4,jojo
Tempalay,そなちね,4pRqrKiiCPrGKJ1AnG4jOU,0.462,0.721,0,-5.924,0,0.0374,0.4,0.00387,0.133,0.929,181.782,324973,4,jojo
HOLYCHILD,Bathroom Bitch,5Q57Nxvba39Vgg0ncWzbAD,0.632,0.918,11,-3.851,0,0.0888,0.00986,0.0327,0.402,0.666,144.005,169984,4,jojo
Hook,Crashed My Car,1FcPNWGbtcBJ4Igg0uMKy9,0.647,0.721,10,-7.066,1,0.525,0.0809,0.0,0.0766,0.258,113.15,144425,4,jojo
Flo Milli,May I,1GcXzijYzyfMq6wryZjYW5,0.896,0.78,1,-3.547,1,0.202,0.0828,0.0,0.0857,0.85,106.032,163019,4,jojo
SOPHIE,Nothing More to Say - Dub,7rGmOXB4xH2A5jEK0gKD3N,0.82,0.493,1,-8.087,1,0.0458,0.000612,0.873,0.0912,0.435,127.029,325307,4,jojo
Leikeli47,Girl Blunt,1lAGdqI4Wwa8G0XTP6VqHl,0.856,0.665,1,-4.618,1,0.189,0.0128,0.00508,0.0695,0.367,93.953,205480,4,jojo
K.I.D,I Cannot Sleep at Night,68CAOhFrKd8c41asvSvJDQ,0.724,0.819,3,-3.474,0,0.0372,0.089,0.0,0.0556,0.897,107.931,171387,4,jojo
Remi Wolf,Doctor,4qGURS4yKfZnQw495NGyAT,0.708,0.823,1,-4.676,0,0.214,0.068,0.0,0.304,0.805,81.03,170460,4,jojo
Rico Nasty,IPHONE,4n21zISadDVx1FFJNfJ67J,0.636,0.799,2,-4.468,1,0.261,0.0736,0.0,0.115,0.39,148.228,158664,4,jojo
Rage Against The Machine,Killing In The Name,59WN2psjkt1tyaxjspN8fp,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,313573,4,jojo
Rina Sawayama,Sleeping in Waking,5pFhMCgUcZ93S64lLMD0ZV,0.471,0.661,11,-8.099,0,0.0454,0.144,0.000155,0.0489,0.413,115.043,233887,3,jojo
Slim Poppins,Cherry Bomb,11AzB3x9q4QtLnZVxpeWKb,0.766,0.394,11,-10.776,1,0.15,0.0668,0.356,0.137,0.544,76.516,183500,4,jojo
Vampire Weekend,Campus,7ui9Qq4JcPGcd3xWOeXhHp,0.524,0.709,7,-5.874,1,0.0632,0.224,0.193,0.0849,0.584,108.68,176467,3,jojo
Stars,Your Ex-Lover Is Dead,6XGKlssGb3oE9IUCvjLthd,0.381,0.5,0,-6.794,1,0.0315,0.00268,0.0266,0.207,0.331,153.276,256053,3,jojo
Baby Tate,B.O.M.B.S.,4D8KWoUe3oTaQSQq928X7B,0.833,0.438,1,-14.467,1,0.134,0.0107,0.285,0.086,0.412,151.043,193907,4,jojo
Rico Nasty,Popstar,6Ww2sVKm8i3ONuCmZomqft,0.667,0.637,5,-5.18,0,0.204,0.224,0.0,0.123,0.331,160.136,191856,4,jojo
Charli XCX,No Angel,4neipBD8hA1q2g1FS9hgAC,0.746,0.711,8,-5.318,1,0.0512,0.0182,0.0,0.06,0.517,98.032,186694,4,jojo
Otoboke Beaver,Don't light my fire,18ThXUp9jiQg26iD1w8reE,0.39,0.843,4,-1.597,0,0.377,0.0574,0.42,0.0551,0.208,185.658,136760,4,jojo
Victoria Monét,Experience,0hRRNHeSZv2x6pHCcXPAct,0.614,0.809,9,-4.749,1,0.0738,0.0105,0.000353,0.148,0.354,112.023,176774,4,jojo
MF DOOM,Om - Edit,4XxkCL8qAoz8vZ2g5JdvAl,0.636,0.793,2,-7.59,1,0.219,0.21,0.0,0.138,0.532,98.884,151580,4,jojo
NANORAY,Sequential Dreambox,0SNe7A2rdfmvL6YxqJSZEt,0.225,0.972,9,-5.467,1,0.0811,0.00218,0.915,0.104,0.155,169.944,432789,4,jojo
Alice Longyu Gao,Dumb Bitch Juice,3PIch19Ly5hNPPGf1PJefy,0.877,0.683,5,-7.375,0,0.116,0.038,0.0,0.199,0.679,135.036,161142,4,jojo
Megan Thee Stallion,Diamonds (with Normani),0PQsrLxPbOBBwwmXCnGvcF,0.785,0.753,1,-3.841,1,0.0873,0.188,1.01e-06,0.265,0.488,94.012,199301,4,jojo
Tove Lo,Bad as the Boys (feat. ALMA),1CGQTaQVVfA0CNae8IwPyC,0.707,0.818,7,-4.891,1,0.0391,0.0702,1.61e-05,0.105,0.489,150.084,186556,4,jojo
Daddy Yankee,"Gasolina (with Pitbull, Lil Jon, Noriega, Dj Buddha) - Dj Buddha Remix",2TXMsGsDbTBPTqwCoKzMl7,0.714,0.818,6,-7.524,1,0.189,0.0431,0.0,0.122,0.637,96.021,283040,4,jojo
Lorde,The Love Club,2yrJ1jWo3HLksJFUqUsZE4,0.794,0.493,5,-7.257,1,0.0563,0.212,0.0133,0.13,0.626,92.026,201434,4,jojo
Cities Aviv,URL IRL,7zgGrCPf90ofUqWmROtm2w,0.471,0.987,8,-2.864,1,0.19,0.00149,0.0,0.0643,0.379,130.035,134896,4,jojo
Leikeli47,Acrylic,0XfWFaFpr7wIPEhMkX78Lt,0.928,0.338,6,-10.326,0,0.236,0.00408,0.00153,0.111,0.543,119.477,177760,4,jojo
Briston Maroney,Bottle Rocket,0ANOK8C8kRTR5AKjW3G62V,0.583,0.931,11,-4.975,0,0.125,0.0174,3.6e-06,0.405,0.319,127.034,190360,4,jojo
Kanye West,The Glory,795LIYKphBOsvyMh5hZaPk,0.423,0.643,6,-7.261,1,0.287,0.0455,0.0,0.172,0.708,84.336,212707,4,jojo
cupcakKe,Garfield,3WRiWRkolTkYHKqMGsYsOT,0.872,0.835,6,-6.174,0,0.11,0.232,1.39e-05,0.0869,0.624,99.978,217560,4,jojo
Tove Lo,Glad He's Gone,6aIAuKNU8JlVaTmoCYYN6U,0.795,0.595,1,-8.073,1,0.0698,0.0823,0.0,0.128,0.502,91.025,196348,4,jojo
Ashnikko,Fuck Me in Shibuya,6oZZofAuIiYl8Wai516Iu1,0.631,0.719,9,-7.148,1,0.118,0.0042,0.0,0.217,0.384,138.006,219197,4,jojo
LVL1,FVN!,4lGOHDJr4PvUguwpMxjzlu,0.731,0.724,0,-7.962,0,0.0502,0.0807,9.04e-05,0.0328,0.644,134.006,190753,4,jojo
Silk City,Electricity (with Dua Lipa),5N4erncE7kuUccm7zEmwzk,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173,4,jojo
Rihanna,Love On The Brain,2aksifNn5ph8igDOkPBA02,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,224000,3,jojo
