,artist,track,uri,nick_history,jojo_history,rich_history,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
439,Beach Bunny,Cloud 9,6vFsBXYczYsP0H3lgunZOm,,True,,0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62e-05,0.344,0.902,80.974,audio_features,6vFsBXYczYsP0H3lgunZOm,147351,4
440,ZOMBIE-CHANG,Lemonade,2gYlKdEVV6AYg82dr6DgVf,,True,,0.548,0.727,11,-5.241,0,0.0407,0.0175,0.000193,0.427,0.454,164.962,audio_features,2gYlKdEVV6AYg82dr6DgVf,282627,4
441,Kanye West,Heaven and Hell,2ZUJsR8HEktit58X6FuPQM,,True,,0.764,0.422,0,-7.265,0,0.119,0.0409,0,0.152,0.268,82.986,audio_features,2ZUJsR8HEktit58X6FuPQM,145301,4
442,Grimes,Kill V. Maim,2MpZratWHtEtJB0qVdJSPN,,True,,0.583,0.944,11,-2.448,0,0.0371,0.00636,0.121,0.1,0.465,134.025,audio_features,2MpZratWHtEtJB0qVdJSPN,246013,4
443,Kehlani,Nights Like This (feat. Ty Dolla $ign) - HONNE Remix,3RiwDuXFqS1N19NKYrk5Ya,,True,,0.766,0.775,0,-4.159,0,0.0722,0.0554,9.06e-06,0.125,0.82,119.973,audio_features,3RiwDuXFqS1N19NKYrk5Ya,229344,4
444,Remi Wolf,Quiet On Set,7yjum1B7kQ8gFWTP0cqKMu,,True,,0.847,0.572,9,-4.796,1,0.259,0.0129,6.81e-06,0.0714,0.658,100.043,audio_features,7yjum1B7kQ8gFWTP0cqKMu,195039,4
445,Grimes,Pin,76g1dbRCF8OAC0gtBOjq8j,,True,,0.618,0.893,10,-4.745,1,0.0485,0.00564,0.00104,0.249,0.636,141.974,audio_features,76g1dbRCF8OAC0gtBOjq8j,212440,4
446,Mitski,Brand New City,3PXTIwwI5dmlgrY0iYQq4J,,True,,0.482,0.831,5,-5.956,0,0.0583,0.049,0,0.0824,0.659,148.121,audio_features,3PXTIwwI5dmlgrY0iYQq4J,132773,4
447,Consequence,Whatever U Want - Main,5Q7AE2cDrLQeRYsW4evb5N,,True,,0.646,0.49,1,-8.17,1,0.0316,0.0946,0.00168,0.117,0.646,106.939,audio_features,5Q7AE2cDrLQeRYsW4evb5N,156480,4
448,Dounia,If U Wanna,3FdsBa4h5VcDDKuEiEoMzL,,True,,0.757,0.64,8,-8.548,0,0.0623,0.103,0,0.138,0.757,109.952,audio_features,3FdsBa4h5VcDDKuEiEoMzL,132545,4
449,Dounia,LOWKEY GRL (feat. Moroccan Doll),0QU9QwoeyqUcYIv0mbMNpz,,True,,0.42,0.824,10,-3.704,0,0.167,0.29,0,0.117,0.458,79.723,audio_features,0QU9QwoeyqUcYIv0mbMNpz,198750,4
450,Vince Staples,Home,7pBsquIkbED6W6uSQJGbkn,,True,True,0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,audio_features,7pBsquIkbED6W6uSQJGbkn,211360,4
451,BABYMETAL,BxMxC,2HEM4wcGP2nFT1Z2i6jtvo,,True,,0.397,0.921,6,-3.372,1,0.0763,0.000241,0.00167,0.348,0.215,112.606,audio_features,2HEM4wcGP2nFT1Z2i6jtvo,183026,1
452,Dresage,Holy,0NJ9hUIQGFjCD0xcGdF5kT,,True,,0.515,0.545,11,-7.351,0,0.138,0.0259,6.83e-05,0.219,0.441,124.188,audio_features,0NJ9hUIQGFjCD0xcGdF5kT,247346,4
453,Remi Wolf,Shawty,6CLeGoAfyJZ7BpO9lZiWFS,,True,,0.7,0.622,5,-6.156,0,0.232,0.0395,0.00132,0.0779,0.574,175.939,audio_features,6CLeGoAfyJZ7BpO9lZiWFS,197727,4
454,Kanye West,Waves,3nAq2hCr1oWsIU54tS98pL,True,True,True,0.557,0.586,10,-4.57,1,0.0382,0.0528,7.33e-06,0.339,0.0681,96.091,audio_features,3nAq2hCr1oWsIU54tS98pL,181573,4
455,DRAMA,Billy,2eQHAwP1oz4XsjHXSEaqZQ,,True,,0.845,0.442,8,-9.698,0,0.0332,0.197,0.00543,0.191,0.404,106.426,audio_features,2eQHAwP1oz4XsjHXSEaqZQ,213716,4
456,Calvin Harris,Slide (feat. Frank Ocean & Migos),6gpcs5eMhJwax4mIfKDYQk,True,True,True,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,audio_features,6gpcs5eMhJwax4mIfKDYQk,230813,4
457,The Format,"Inches and Falling (I Love, Love)",1YTZNpgLZ56rLSPs6pf4w3,,True,,0.671,0.71,9,-5.992,1,0.0874,0.323,1.24e-06,0.0574,0.74,117.649,audio_features,1YTZNpgLZ56rLSPs6pf4w3,210000,4
458,Death Grips,I Break Mirrors With My Face In The United States,4hiTbBpSeWGkkBC7YlTY9w,,True,,0.447,0.997,0,-2.348,1,0.325,0.163,0,0.884,0.105,134.039,audio_features,4hiTbBpSeWGkkBC7YlTY9w,160884,4
459,Dounia,Queen of Kings (Outro),7rvuykfOYtBmNxW2HuhuO7,,True,,0.672,0.394,5,-11.781,0,0.292,0.582,0,0.108,0.837,176.126,audio_features,7rvuykfOYtBmNxW2HuhuO7,190909,4
460,Kanye West,Nah Nah Nah (feat. DaBaby & 2 Chainz) - Remix,20m8ZHA6Jevqo1xnhQffQu,,,,0.733,0.743,2,-5.045,1,0.371,0.00494,0,0.261,0.623,150.024,audio_features,20m8ZHA6Jevqo1xnhQffQu,191353,4
461,Knox Fortune,Lil Thing,4At1qbqCOJ9WFbvpWTOOY4,,True,,0.689,0.803,7,-3.929,1,0.15,0.23,1.95e-05,0.0897,0.659,155.967,audio_features,4At1qbqCOJ9WFbvpWTOOY4,207445,4
462,The Paper Kites,Bloom - Bonus Track,1HMQmOWrkieKYWlFsjUP3D,,True,,0.591,0.416,1,-9.794,1,0.0246,0.882,0.000641,0.112,0.415,96.003,audio_features,1HMQmOWrkieKYWlFsjUP3D,210080,4
